ts_unix,iface,bus_load_pct,id_hex,fps,avg_jitter_ms,avg_len_bytes,count
1759437764,vcan0,2.63,0x111,90.764,5.336,8.00,91
1759437764,vcan0,2.63,0x222,38.899,12.518,4.00,39
1759437765,vcan0,5.42,0x111,187.339,5.338,8.00,188
1759437765,vcan0,5.42,0x222,79.719,12.509,4.00,80
1759437766,vcan0,5.42,0x111,187.225,5.340,8.00,188
1759437766,vcan0,5.42,0x222,79.670,12.513,4.00,80
1759437767,vcan0,5.42,0x111,186.452,5.341,8.00,187
1759437767,vcan0,5.42,0x222,80.763,12.506,4.00,81
1759437768,vcan0,5.31,0x111,188.107,5.333,8.00,189
1759437768,vcan0,5.31,0x222,71.660,12.378,4.00,72
1759437769,vcan0,4.06,0x111,182.947,5.466,8.00,183
1759437770,vcan0,4.04,0x111,181.825,5.495,8.00,182
1759437771,vcan0,3.98,0x111,179.302,5.578,8.00,180
1759437772,vcan0,4.02,0x111,180.947,5.524,8.00,181
1759437773,vcan0,0.31,0x111,13.771,5.434,8.00,14
